product_id,product_name,category,style,description_tags
1,Classic Blue Jeans,Bottoms,Casual,denim durable blue slim fit comfortable
2,Slim Fit Denim Jacket,Outerwear,Casual,denim jacket blue classic rugged
3,Red Silk Evening Gown,Dresses,Formal,silk red elegant formal long party luxury
4,Cotton White T-Shirt,Tops,Casual,cotton white basic plain summer essential
5,Leather Biker Jacket,Outerwear,Edgy,leather black jacket warm winter tough style
6,Floral Summer Sundress,Dresses,Casual,floral cotton light summer breezy beach
7,Black Tailored Blazer,Outerwear,Formal,professional black blazer suit formal office
8,Running Performance Shoes,Footwear,Sporty,breathable running lightweight comfort athletic
9,Vintage Polka Dot Skirt,Bottoms,Vintage,polka dot skirt retro vintage 50s style
10,Cashmere Winter Sweater,Tops,Casual,cashmere wool warm luxury sweater winter soft
11,High-Waist Yoga Leggings,Bottoms,Sporty,stretch yoga gym athletic fitness leggings
12,Satin Cocktail Dress,Dresses,Formal,satin black short cocktail party dress shiny
13,Linen Button-Down Shirt,Tops,Casual,linen breathable summer shirt beach white
14,Canvas High-Top Sneakers,Footwear,Casual,canvas sneakers classic white casual daily
15,Wool Trench Coat,Outerwear,Formal,wool long trench coat beige winter elegant
16,Graphic Print Hoodie,Tops,Streetwear,cotton hoodie graphic print urban streetwear oversized
17,Gold Sequined Mini Skirt,Bottoms,Party,gold sequins mini skirt party clubbing shiny
18,Velvet Party Blazer,Outerwear,Formal,velvet green blazer luxury formal evening
19,Striped Nautical Tee,Tops,Casual,stripes blue white cotton nautical summer
20,Leather Chelsea Boots,Footwear,Formal,leather boots black sleek professional formal
21,Product 21,Bottoms,Formal,bottoms formal stylish trendy comfortable
22,Product 22,Dresses,Sporty,dresses sporty stylish trendy comfortable
23,Product 23,Footwear,Vintage,footwear vintage stylish trendy comfortable
24,Product 24,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
25,Product 25,Tops,Casual,tops casual stylish trendy comfortable
26,Product 26,Bottoms,Formal,bottoms formal stylish trendy comfortable
27,Product 27,Dresses,Sporty,dresses sporty stylish trendy comfortable
28,Product 28,Footwear,Vintage,footwear vintage stylish trendy comfortable
29,Product 29,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
30,Product 30,Tops,Casual,tops casual stylish trendy comfortable
31,Product 31,Bottoms,Formal,bottoms formal stylish trendy comfortable
32,Product 32,Dresses,Sporty,dresses sporty stylish trendy comfortable
33,Product 33,Footwear,Vintage,footwear vintage stylish trendy comfortable
34,Product 34,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
35,Product 35,Tops,Casual,tops casual stylish trendy comfortable
36,Product 36,Bottoms,Formal,bottoms formal stylish trendy comfortable
37,Product 37,Dresses,Sporty,dresses sporty stylish trendy comfortable
38,Product 38,Footwear,Vintage,footwear vintage stylish trendy comfortable
39,Product 39,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
40,Product 40,Tops,Casual,tops casual stylish trendy comfortable
41,Product 41,Bottoms,Formal,bottoms formal stylish trendy comfortable
42,Product 42,Dresses,Sporty,dresses sporty stylish trendy comfortable
43,Product 43,Footwear,Vintage,footwear vintage stylish trendy comfortable
44,Product 44,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
45,Product 45,Tops,Casual,tops casual stylish trendy comfortable
46,Product 46,Bottoms,Formal,bottoms formal stylish trendy comfortable
47,Product 47,Dresses,Sporty,dresses sporty stylish trendy comfortable
48,Product 48,Footwear,Vintage,footwear vintage stylish trendy comfortable
49,Product 49,Outerwear,Streetwear,outerwear streetwear stylish trendy comfortable
50,Product 50,Tops,Casual,tops casual stylish trendy comfortable
